iteration,action_noise_std,value_function_loss,surrogate_loss,entropy_loss,mean_reward,mean_episode_length,rew_air_time,rew_base_angular_vel,rew_base_linear_vel,rew_foot_clearance,rew_gait,rew_action_smoothness,rew_air_time_variance,rew_base_motion,rew_base_orientation,rew_foot_slip,rew_joint_acc,rew_joint_pos,rew_joint_torques,rew_joint_vel,terrain_level,error_vel_xy,error_vel_yaw,term_timeout,term_body_contact,term_out_of_bounds,total_timesteps
79,0.77,0.3448,-0.0049,13.8711,414.5,1895.35,0.4045,4.2464,14.4194,0.2509,7.8522,-4.0903,-0.0009,-0.5373,-0.2078,-0.7733,-0.2261,-0.347,-0.0173,-0.0983,3.5531,1.7288,0.4607,0.9389,0.0151,0.0,9408000.0
80,0.77,0.3387,-0.0088,13.8072,427.96,1923.18,0.4446,4.2884,14.4851,0.2455,8.1827,-4.1293,-0.001,-0.5546,-0.2194,-0.7815,-0.1831,-0.3207,-0.0168,-0.098,3.5433,1.7836,0.4781,0.9502,0.0151,0.0,9525600.0
81,0.76,0.3422,-0.0072,13.7762,430.81,1948.02,0.3973,4.3426,15.5285,0.2487,7.4748,-4.1675,-0.001,-0.5568,-0.2182,-0.778,-0.2204,-0.4128,-0.0174,-0.0986,3.5329,1.6611,0.4832,0.9627,0.0151,0.0,9643200.0
82,0.76,0.3374,-0.007,13.7361,427.58,1972.41,0.4054,4.3967,15.442,0.2528,7.8314,-4.2155,-0.0009,-0.5593,-0.2191,-0.8264,-0.2767,-0.3891,-0.0183,-0.1032,3.5233,1.7788,0.4881,0.9745,0.0151,0.0,9760800.0
83,0.76,0.3386,-0.0075,13.6826,434.92,1993.0,0.4304,4.4396,14.9045,0.2567,8.5112,-4.245,-0.001,-0.5523,-0.2181,-0.8043,-0.2731,-0.3264,-0.0183,-0.1018,3.5129,1.8453,0.4907,0.9845,0.0151,0.0,9878400.0
84,0.76,0.3463,-0.0056,13.6359,437.73,2000.0,0.4096,4.4461,15.9873,0.2532,7.6111,-4.2352,-0.001,-0.5602,-0.2219,-0.8043,-0.2372,-0.4305,-0.018,-0.1011,3.5013,1.6833,0.4869,0.9874,0.0126,0.0,9996000.0
85,0.75,0.3492,-0.0076,13.5949,453.95,2000.0,0.4186,4.4491,16.0562,0.2555,8.0026,-4.2212,-0.001,-0.5497,-0.2183,-0.8419,-0.3053,-0.3905,-0.0189,-0.1013,3.4901,1.6993,0.4845,0.9902,0.0098,0.0,10113600.0
86,0.75,0.3473,-0.0068,13.5518,455.13,2000.0,0.4489,4.4497,15.0403,0.2604,8.6422,-4.2064,-0.001,-0.5659,-0.2204,-0.8229,-0.2351,-0.3157,-0.0177,-0.1021,3.4795,1.7339,0.4836,0.9911,0.0089,0.0,10231200.0
87,0.75,0.3388,-0.0094,13.5095,461.81,2000.0,0.4354,4.4566,16.6886,0.2521,8.197,-4.1935,-0.001,-0.5576,-0.2176,-0.8346,-0.26,-0.3632,-0.0181,-0.102,3.4711,1.5017,0.477,0.9918,0.0082,0.0,10348800.0
88,0.74,0.3427,-0.0101,13.468,461.45,2000.0,0.4435,4.4562,15.5592,0.2615,8.6093,-4.1739,-0.001,-0.5506,-0.2129,-0.7869,-0.1988,-0.3159,-0.0173,-0.0987,3.4625,1.7091,0.4773,0.9922,0.0078,0.0,10466400.0
89,0.74,0.3412,-0.0103,13.4306,446.31,2000.0,0.4317,4.4518,14.3185,0.2604,8.4197,-4.1663,-0.001,-0.5495,-0.2184,-0.8096,-0.2621,-0.3388,-0.0182,-0.1002,3.4543,1.9423,0.4814,0.9926,0.0074,0.0,10584000.0
90,0.74,0.3458,-0.0098,13.4131,434.02,2000.0,0.4241,4.4682,14.8019,0.2589,8.3086,-4.1456,-0.001,-0.5456,-0.2148,-0.8058,-0.2803,-0.353,-0.0183,-0.1004,3.4449,1.8622,0.4657,0.9932,0.0068,0.0,10701600.0
91,0.74,0.3536,-0.01,13.3834,442.66,2000.0,0.4241,4.453,14.8683,0.2578,8.0522,-4.1223,-0.001,-0.5509,-0.2159,-0.7899,-0.2439,-0.3763,-0.0178,-0.099,3.4366,1.8394,0.4806,0.9937,0.0063,0.0,10819200.0
