iteration,total_iterations,action_noise_std,value_function_loss,surrogate_loss,entropy_loss,mean_reward,mean_episode_length,rew_air_time,rew_base_angular_vel,rew_base_linear_vel,rew_foot_clearance,rew_gait,rew_action_smoothness,rew_air_time_variance,rew_base_motion,rew_base_orientation,rew_foot_slip,rew_joint_acc,rew_joint_pos,rew_joint_torques,rew_joint_vel,terrain_level,error_vel_xy,error_vel_yaw,term_timeout,term_body_contact,term_out_of_bounds,total_timesteps,iteration_time_s
68,30000,0.8,0.2454,-0.0022,14.2204,426.79,1630.82,0.3511,3.6015,16.0644,0.1121,6.8379,-3.5812,-0.0008,-0.485,-0.1775,-0.7071,-0.1767,-0.3053,-0.0152,-0.0871,3.6466,0.7278,0.4529,0.8306,0.0,0.0,8114400.0,1.96
69,30000,0.8,0.2814,-0.0023,14.1608,431.49,1657.17,0.3544,3.6458,16.4971,0.1124,6.7321,-3.6206,-0.0008,-0.4875,-0.1748,-0.7134,-0.2088,-0.3376,-0.0156,-0.0897,3.6368,0.7144,0.4666,0.8411,0.0,0.0,8232000.0,1.91
70,30000,0.79,0.2371,-0.0046,14.1142,435.78,1682.82,0.36,3.6939,16.6299,0.1141,6.7872,-3.6671,-0.0008,-0.4997,-0.1829,-0.7286,-0.1867,-0.3509,-0.0156,-0.0907,3.6273,0.7385,0.4783,0.8516,0.0,0.0,8349600.0,1.92
71,30000,0.79,0.2373,-0.0012,14.0437,441.98,1707.85,0.372,3.7337,17.0834,0.117,7.1073,-3.7177,-0.0008,-0.5105,-0.1868,-0.7346,-0.1882,-0.3265,-0.0157,-0.0917,3.6173,0.7253,0.4966,0.8633,0.0,0.0,8467200.0,1.93
72,30000,0.79,0.2463,-0.0033,14.0058,452.4,1733.51,0.3873,3.8033,17.1087,0.1195,7.2774,-3.7555,-0.0009,-0.513,-0.1862,-0.7421,-0.1696,-0.3224,-0.0156,-0.0919,3.6079,0.7569,0.4871,0.8745,0.0,0.0,8584800.0,1.92
73,30000,0.79,0.262,0.0009,13.9704,457.76,1758.75,0.3769,3.8474,17.1683,0.1197,7.0859,-3.8011,-0.0009,-0.5154,-0.1913,-0.766,-0.2279,-0.366,-0.0166,-0.0943,3.5965,0.7867,0.5018,0.8876,0.0,0.0,8702400.0,1.91
74,30000,0.79,0.2507,-0.0062,13.8855,460.17,1778.73,0.3668,3.9093,17.9629,0.1223,6.764,-3.8444,-0.0009,-0.5214,-0.1909,-0.7722,-0.1961,-0.4253,-0.0165,-0.0938,3.586,0.7435,0.4999,0.9001,0.0,0.0,8820000.0,1.96
75,30000,0.78,0.2349,-0.0016,13.9094,467.83,1801.19,0.4057,3.9362,17.5369,0.1232,7.8784,-3.8935,-0.0009,-0.5253,-0.1954,-0.7812,-0.2566,-0.3021,-0.0173,-0.0972,3.577,0.8159,0.5313,0.9104,0.0,0.0,8937600.0,1.92
76,30000,0.78,0.2541,-0.0026,13.8575,480.03,1826.22,0.3886,4.0055,18.4073,0.125,7.2921,-3.9407,-0.0009,-0.5392,-0.1975,-0.7892,-0.2061,-0.3919,-0.0168,-0.0974,3.5675,0.7644,0.521,0.9216,0.0,0.0,9055200.0,1.94
77,30000,0.78,0.2372,-0.0052,13.7919,488.23,1850.17,0.3959,4.0729,18.5918,0.1269,7.4196,-3.9836,-0.0009,-0.5444,-0.2005,-0.8133,-0.241,-0.392,-0.0174,-0.1,3.5581,0.7814,0.5133,0.932,0.0,0.0,9172800.0,1.94
